ts_code,trade_date,open,high,low,close,vol,amount,pre_close,change,pct_chg
002466.SZ,20260325,52.66,53.98,51.96,53.46,538316.56,2849212.339,51.63,1.83,3.5445
002466.SZ,20260326,53.46,55.79,52.95,54.2,617794.54,3368966.02,53.46,0.74,1.3842
002466.SZ,20260327,53.61,58.26,53.5,57.96,1021454.95,5776794.787,54.2,3.76,6.9373
002466.SZ,20260330,58.02,58.39,56.07,57.24,722212.09,4140538.174,57.96,-0.72,-1.2422
002466.SZ,20260331,57.1,57.19,55.29,55.48,512702.86,2872077.054,57.24,-1.76,-3.0748
002466.SZ,20260401,55.98,56.65,54.68,55.45,392255.44,2181701.412,55.48,-0.03,-0.0541
002466.SZ,20260402,55.45,57.7,54.62,56.17,525641.13,2970103.427,55.45,0.72,1.2985
002466.SZ,20260403,55.96,56.87,55.0,55.44,324267.91,1808229.386,56.17,-0.73,-1.2996
002466.SZ,20260407,55.7,57.36,55.31,56.7,379872.14,2134613.151,55.44,1.26,2.2727
002466.SZ,20260408,56.18,58.37,55.66,58.27,590987.77,3391640.575,56.7,1.57,2.769
002466.SZ,20260409,58.13,59.17,57.03,57.65,499802.67,2900584.34,58.27,-0.62,-1.064
002466.SZ,20260410,58.0,60.66,57.88,59.64,762970.62,4538738.843,57.65,1.99,3.4519
002466.SZ,20260413,59.43,62.47,59.43,62.1,768397.33,4718172.635,59.64,2.46,4.1247
002466.SZ,20260414,62.5,64.64,61.77,64.53,760423.97,4800332.267,62.1,2.43,3.913
002466.SZ,20260415,64.68,64.68,61.5,61.8,732550.8,4577692.43,64.53,-2.73,-4.2306
002466.SZ,20260416,62.55,66.66,62.0,65.32,917479.6,5928626.877,61.8,3.52,5.6958
002466.SZ,20260417,65.78,68.4,65.74,66.65,852877.65,5722938.13,65.32,1.33,2.0361
002466.SZ,20260420,66.0,67.7,65.39,66.82,578896.54,3858736.637,66.65,0.17,0.2551
002466.SZ,20260421,70.0,73.3,68.71,70.71,1367063.5,9705112.386,66.82,3.89,5.8216
002466.SZ,20260422,70.0,71.22,69.02,70.73,853742.91,5999677.304,70.71,0.02,0.0283
002466.SZ,20260423,70.09,70.29,66.97,67.97,851189.88,5812034.737,70.73,-2.76,-3.9022
002466.SZ,20260424,67.9,74.77,67.6,73.7,1351005.53,9667979.616,67.97,5.73,8.4302
002466.SZ,20260427,73.5,75.46,73.0,73.65,1006084.05,7459078.763,73.7,-0.05,-0.0678
002466.SZ,20260428,74.61,75.09,72.0,72.53,768751.94,5622954.166,73.65,-1.12,-1.5207
002466.SZ,20260429,73.0,75.8,71.07,75.52,1168530.23,8672043.2,72.53,2.99,4.1224
002466.SZ,20260430,75.0,81.19,74.49,80.03,1306785.33,10314776.758,75.52,4.51,5.9719
002466.SZ,20260506,80.03,82.49,78.4,81.71,1208116.67,9730600.299,80.03,1.68,2.0992
002466.SZ,20260507,80.28,80.55,77.51,79.06,1216578.17,9584345.389,81.71,-2.65,-3.2432
