ts_code,trade_date,open,close,high,low,vol,amount,pct_chg,change
09696.HK,20251002,45.62,50.75,51.8,45.62,6753809.0,337984688.0,12.93,5.81
09696.HK,20251003,50.85,50.4,50.85,49.2,2043658.0,102044279.0,-0.69,-0.35
09696.HK,20251006,50.4,48.44,50.45,48.02,1861100.0,90869427.0,-3.89,-1.96
09696.HK,20251008,48.46,48.96,50.7,47.88,2594720.0,128093190.0,1.07,0.52
09696.HK,20251009,49.0,48.6,50.15,46.82,11142600.0,540341120.0,-0.74,-0.36
09696.HK,20251010,48.8,43.78,49.08,43.5,9308232.0,420042832.0,-9.92,-4.82
09696.HK,20251013,42.38,45.9,46.0,42.02,9464142.0,418914432.0,4.84,2.12
09696.HK,20251014,46.98,42.86,46.98,42.8,6095900.0,272496912.0,-6.62,-3.04
09696.HK,20251015,43.6,43.4,44.22,41.94,3471566.0,149469387.0,1.26,0.54
09696.HK,20251016,43.4,44.4,44.7,42.92,3568900.0,157012930.0,2.3,1.0
09696.HK,20251017,45.1,43.3,45.8,42.92,4412994.0,193302789.0,-2.48,-1.1
09696.HK,20251020,44.2,42.22,44.4,41.88,2750201.0,117927017.0,-2.49,-1.08
09696.HK,20251021,42.48,42.1,43.38,41.4,3728614.0,158152028.0,-0.28,-0.12
09696.HK,20251022,42.1,42.32,42.32,40.2,2710306.0,112337171.0,0.52,0.22
09696.HK,20251023,42.8,44.48,44.8,41.04,7012720.0,302704064.0,5.1,2.16
09696.HK,20251024,44.96,46.22,48.8,44.96,9986500.0,468118352.0,3.91,1.74
09696.HK,20251027,46.9,47.38,47.74,46.36,5282462.0,248650467.0,2.51,1.16
09696.HK,20251028,47.78,45.62,47.78,45.5,4552640.0,211108883.0,-3.71,-1.76
09696.HK,20251030,47.5,49.78,50.95,46.58,22809025.0,1122841088.0,9.12,4.16
09696.HK,20251031,49.86,47.7,52.6,47.22,13298742.0,664799216.0,-4.18,-2.08
09696.HK,20251103,48.3,46.58,49.16,45.92,4698400.0,220293136.0,-2.35,-1.12
09696.HK,20251104,46.9,44.4,47.34,44.14,5579935.0,254503640.0,-4.68,-2.18
09696.HK,20251105,43.14,46.48,47.6,43.0,7381160.0,337175488.0,4.68,2.08
09696.HK,20251106,46.56,48.88,49.32,46.2,6608100.0,316705344.0,5.16,2.4
09696.HK,20251107,49.0,52.55,52.55,48.22,11403135.0,578427536.0,7.51,3.67
09696.HK,20251110,54.0,54.15,57.1,52.2,159281185.0,875034144.0,3.04,1.6
09696.HK,20251111,54.3,51.75,55.15,51.05,8731880.0,460313280.0,-4.43,-2.4
09696.HK,20251112,51.0,51.45,52.65,49.64,5925869.0,303733040.0,-0.58,-0.3
09696.HK,20251113,51.9,56.7,57.0,51.9,14073791.0,779766176.0,10.2,5.25
09696.HK,20251114,55.1,53.95,56.7,53.8,6209600.0,341050752.0,-4.85,-2.75
09696.HK,20251117,57.0,57.0,58.7,55.2,16712820.0,955221952.0,5.65,3.05
09696.HK,20251118,56.85,53.05,58.45,52.1,11550274.0,629297680.0,-6.93,-3.95
09696.HK,20251119,53.6,54.55,56.9,53.6,11902690.0,659255072.0,2.83,1.5
09696.HK,20251120,55.5,53.55,58.3,53.0,13326220.0,740845712.0,-1.83,-1.0
09696.HK,20251121,52.0,47.16,52.0,46.88,10874170.0,528791664.0,-11.93,-6.39
09696.HK,20251124,47.5,45.76,48.0,44.2,9421929.0,427246848.0,-2.97,-1.4
09696.HK,20251125,45.98,47.96,48.4,45.12,9444621.0,443060224.0,4.81,2.2
09696.HK,20251126,49.22,48.1,50.05,48.0,6790600.0,331441696.0,0.29,0.14
09696.HK,20251127,47.6,47.56,49.24,47.34,5001640.0,241986271.0,-1.12,-0.54
09696.HK,20251128,47.3,49.26,49.66,47.26,4422700.0,216566047.0,3.57,1.7
09696.HK,20251201,49.32,48.72,50.9,48.2,5309884.0,262129336.0,-1.1,-0.54
09696.HK,20251202,48.7,47.28,48.7,46.5,3589100.0,169694952.0,-2.96,-1.44
09696.HK,20251203,47.48,46.48,47.94,45.94,3167924.0,147280487.0,-1.69,-0.8
09696.HK,20251204,46.06,46.54,47.36,46.06,2315415.0,107868929.0,0.13,0.06
09696.HK,20251205,46.28,46.8,46.98,45.78,2227000.0,103573940.0,0.56,0.26
09696.HK,20251208,46.86,48.28,48.78,46.26,6446800.0,309584800.0,3.16,1.48
09696.HK,20251209,48.14,46.46,48.14,45.94,3181100.0,148935995.0,-3.77,-1.82
09696.HK,20251210,46.4,47.88,48.38,45.8,4169137.0,197743181.0,3.06,1.42
09696.HK,20251211,48.66,48.2,50.75,48.1,7480700.0,370434096.0,0.67,0.32
09696.HK,20251212,49.5,47.04,49.82,47.0,4702600.0,225906760.0,-2.41,-1.16
09696.HK,20251215,47.0,46.88,47.48,45.8,2971430.0,138135733.0,-0.34,-0.16
09696.HK,20251216,47.14,46.62,47.6,46.36,3743000.0,175725304.0,-0.55,-0.26
09696.HK,20251217,48.36,49.34,49.96,48.02,7891200.0,387820208.0,5.83,2.72
09696.HK,20251218,49.5,48.92,50.35,48.32,3874200.0,191446418.0,-0.85,-0.42
09696.HK,20251219,48.9,49.76,50.8,47.9,6209202.0,307487072.0,1.72,0.84
09696.HK,20251222,50.85,51.95,52.95,50.75,6029558.0,312984320.0,4.4,2.19
09696.HK,20251223,53.0,53.0,54.25,51.95,6348500.0,337058256.0,2.02,1.05
09696.HK,20251224,53.45,52.7,54.8,52.4,4009800.0,214921485.0,-0.57,-0.3
09696.HK,20251229,54.45,51.0,54.7,50.7,5630708.0,293881376.0,-3.23,-1.7
09696.HK,20251230,49.96,52.65,53.15,49.58,4797650.0,249438279.0,3.24,1.65
09696.HK,20251231,53.2,51.05,53.7,50.75,2902200.0,151470010.0,-3.04,-1.6
09696.HK,20260102,52.3,52.35,52.6,50.3,618800.0,32133841.0,2.55,1.3
09696.HK,20260105,51.8,52.7,53.1,50.6,5156661.0,267919424.0,0.67,0.35
09696.HK,20260106,54.5,54.75,55.15,52.75,6234410.0,339128688.0,3.89,2.05
09696.HK,20260107,55.05,54.45,55.55,53.05,3991000.0,215919218.0,-0.55,-0.3
09696.HK,20260108,54.85,53.7,56.9,52.4,5254639.0,287008784.0,-1.38,-0.75
09696.HK,20260109,53.8,52.65,54.75,52.35,4466000.0,238123965.0,-1.96,-1.05
09696.HK,20260112,55.0,55.05,55.9,53.7,6609886.0,364300208.0,4.56,2.4
09696.HK,20260113,55.95,55.5,58.95,54.4,12636400.0,714261024.0,0.82,0.45
09696.HK,20260114,55.9,54.5,57.6,53.7,6983674.0,387434624.0,-1.8,-1.0
09696.HK,20260115,54.45,57.1,57.9,53.0,7062216.0,401194944.0,4.77,2.6
